Time,Ana García,Carlos López,María Rodríguez,Pedro Sánchez,Laura Martínez
2025-02-10 09:00,1,0,1,1,0
2025-02-10 09:30,1,1,1,0,0
2025-02-10 10:00,1,1,0,1,1
2025-02-10 10:30,0,1,0,1,1
2025-02-10 11:00,0,0,1,1,1
2025-02-10 11:30,1,0,1,0,1
2025-02-10 14:00,1,1,1,1,0
2025-02-10 14:30,1,1,1,1,1
2025-02-10 15:00,0,1,1,0,1
2025-02-10 15:30,0,0,0,1,1
2025-02-11 09:00,1,1,0,0,1
2025-02-11 09:30,1,1,1,0,1
2025-02-11 10:00,0,1,1,1,0
2025-02-11 10:30,1,0,1,1,1
2025-02-11 11:00,1,1,0,0,0
2025-02-11 14:00,0,1,1,1,1
2025-02-11 14:30,1,1,0,1,0
2025-02-11 15:00,1,0,1,0,1
